numero	nombre	tema	descripcion	proponente	partido	comision	fecha_turno	fecha_votacion	estado	recursos_adicionales
120	Proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley Orgánica de la Administración Pública Federal.	equidad de género	Modificar el lenguaje de la LOAPF para que exprese su contenido con perspectiva de género 	Jorge Antonio Kahwagi Macari	Nueva Alianza	Gobernación	4/29/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/abr/20110414-II.html#Iniciativa8
121	Proyecto de decreto que expide la Ley Federal de Comunicación Gubernamental.	publicidad oficial, transparencia	Reglamentar la producción, distribución, contratación y contenidos de la comunicación gubernamental que se realice mediante cualquier medio de comunicación	Javier Corral Jurado	PAN	Gobernación, Radio, Televisión y Cinematografía	4/29/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/abr/20110426-VI.html#Iniciativa28
122	Que expide la Ley que crea la Comision Nacional de Emigrantes, y reforma, adiciona y deroga diversas disposiciones de las Leyes Federal de las Entidades Paraestatales, del Servicio Exterior Mexicano, y General de Población.	migración, derechos humanos	Crear una ley para coordinar y dar cohesión a las políticas de la Administración Pública Federal en materia de emigrantes y los asuntos relacionados con ellos. 	Alejandra Noemí Reynoso Sánchez	PAN	Gobernación, Población, Fronteras y Asuntos Migratorios, Relaciones Exteriores	4/29/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/abr/20110414-II.html#Iniciativa8
123	Que reforma el artículo 5o. de la Ley Federal de Fomento a las Actividades realizadas por Organizaciones de la Sociedad Civil.	participación ciudadana, sociedad civil	Incorporar el concepto de “construcción de ciudadanía desde el reconocimiento de derechos y responsabilidades”, como actividad de las organizaciones de la sociedad civil.	Jorge Antonio Kahwagi Macari	Nueva Alianza	Participación Cuidadana	4/29/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/abr/20110429-VII.html#Iniciativa5
124	Expide la Ley de Migración y reforma, deroga y adiciona diversas disposiciones de la Ley General de Población, del Código Penal Federal, del Código Federal de Procedimientos Penales, de las Leyes: Federal contra la Delincuencia Organizada, De la Policía Federal, De Asociaciones Religiosas y Culto Público, De Inversión Extranjera, y General de Turismo.	migración, derechos humanos, reforma migratoria	Regular ingreso y salida de personas en territorio nacional, y tránsito y estancia de extranjeros, garantizando los derechos humanos y los intereses nacionales.	Senadores	Senadores	Población, Fronteras y Asuntos Migratorios, Justicia	4/29/11		Aprobada	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110303-I.html#Minuta1, http://gaceta.diputados.gob.mx/Gaceta/61/2011/abr/DOF25MAY2011-LeyMigracion.doc
125	Que reforma el artículo 74 de la Constitución Política de los Estados Unidos Mexicanos.	desarrollo social, presupuesto	Cámara d Diputados podrá intervenir en análisis del ejercicio presupuestario y decidir asignarlos a programas q lo requieran por nuevas necesidades sociales	Andrés Aguirre Romero	PRI	Puntos Constitucionales	4/29/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110317-II.html#Iniciativa11
126	Que reforma los artículos 74 de la Constitución Política de los Estados Unidos Mexicanos y 39 y 42 de la Ley Federal de Presupuesto y Responsabilidad Hacendaria	presupuesto	Garantizar que haya un presupuesto aprobado en la fecha límite con los requisitos básicos, con la opción de reasingar recursos posteriormente	Gerardo del Mazo Morales	Nueva Alianza	Puntos Constitucionales	4/29/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/abr/20110428-VIII.html#Iniciativa18
127	Que reforma el artículo 134 de la Constitución Política de los Estados Unidos Mexicanos	publicidad oficial	Prohibir la propaganda en la comunicación social que difunda el poder público en sus tres órdenes de gobierno.	Jesús María Rodríguez Hernández	PRI	Puntos Constitucionales	4/29/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/abr/20110405-IV.html#Iniciativa12
128	Que reforma los artículos 39 y 49 de la Ley Orgánica del Congreso General de los Estados Unidos Mexicanos.	diputados, migración, trabajo legislativo	Crear la Comision Ordinaria de Atención y Protección de los Emigrantes y sus Familiares de la Cámara de Diputados y el Centro de Estudios de los Emigrantes	Alejandra Noemí Reynoso Sánchez	PAN	Régimen, Reglamentos y Prácticas Parlamentarias	4/29/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/abr/20110414-II.html#Iniciativa12
129	Que reforma los artículos 64, 65, 66 y 70 de la Constitución Política de los Estados Unidos Mexicano	trabajo legislativo	Obligar la asistencia de los diputados a las reuniones de Comision. Ampliar el calendario del periodo de sesiones. Restringir la composición de los grupos parlamentarios	José Luis Jaime Correa	PRD	Puntos Constitucionales	5/18/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/may/20110523.html#Iniciativa2
130	Que reforma los artículos 52, 53 y 54 de la Constitución Política de los Estados Unidos Mexicanos	poder legislativo	Reducir el número d diputados de representación proporcional de 200 a 100, y de 300 a 240 el máximo d diputados q podrá tener 1 partido por ambos principios	Arturo Ramírez Bucio	PAN	Puntos Constitucionales	5/18/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/may/20110523.html#Iniciativa10
131	Decreto por el que se reforman los párrafos primeros a los artículos 65 y 66 de la Constitución Política de los Estados Unidos Mexicanos.	diputados, senadores	Ampliar el calendario del periodo de sesiones. 	Juan Carlos Natale López	PAN	Puntos Constitucionales	5/25/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/may/20110530.html#Iniciativa4
132	Que adiciona un sexto párrafo a la fracción IV del artículo 74 y reforma los artículos 75 y 126 de la Constitución Política de los Estados Unidos Mexicanos, reforma diversas disposiciones de la Ley Federal de Presupuesto y Responsabilidad Hacendaria y adiciona el artículo 223 Bis del Código Penal Federal	presupuesto	Modificar varias leyes relacionadas con el presupuesto, definir el proceso para modificarlo y limitar el gasto no progrmado	César Augusto Santiago Ramírez	PRI	Justicia, Presupuesto y Cuenta Pública, Puntos Constitucionales	5/25/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/may/20110530.html#Iniciativa15
133	Que reforma diversas disposiciones del Código Federal de Instituciones y Procedimientos Electorales 	publicidad oficial, transparencia, 	Limitar y fiscalizar el gasto en publicidad electoral contratada por partidos políticos en Internet	José Luis Jaime Correa	PRD	Gobernación	6/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/jun/20110606.html#Iniciativa4
134	Que reforma y adiciona los artículos 41 de la Constitución Política de los Estados Unidos Mexicanos, y 38 del Código Federal de Instituciones y Procedimientos Electorales	publicidad oficial	Prohibir que en la propaganda política y electoral de los partidos políticos se promuevan los logros y programas de los gobiernos	Reginaldo Rivera de la Torre	PRI	Puntos Constitucionales	6/22/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/jun/20110627.html#Iniciativa4
135	Que reforma y adiciona diversas disposiciones de la Ley Minera	economía, derecho a la consulta	Es derecho de las comunidades aprobar los proyectos de exploración y explotación que se llevan a cabo en zonas comunales.	Jaime Fernando Cárdenas Gracia	PT	Economía	9/8/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/sep/20110906-III.html#Iniciativa27
136	Se reforman, adicionan y derogan diversas disposiciones de la Ley Federal de Derechos.	finanzas públicas	Ingresos 2012: cambiar varias disposiciones sobre los pagos de derechos que se hacen a la Federación: agua, tránsito, cine, sanidad, ISBN, entre otros.	Poder Ejecutivo	Poder Ejecutivo	Hacienda y Crédito Público	9/13/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/sep/20110913-I.html#Iniciativa3
137	Que reforma, adiciona y deroga diversas disposiciones del Código Fiscal de la Federación.	finanzas públicas	Ingresos 2012: cambiar varias disposiciones sobre trámites y procedimientos fiscales.	Poder Ejecutivo	Poder Ejecutivo	Hacienda y Crédito Público	9/13/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/sep/20110913-I.html#Iniciativa4
138	Proyecto de Presupuesto de Egresos de la Federación para el Ejercicio Fiscal de 2012	presupuesto	Presupuesto de Egresos 2012. 3 ejes principales: seguridad pública, crecimiento económico, desarrollo social. 	Poder Ejecutivo	Poder Ejecutivo	Hacienda y Crédito Público, Presupuesto y Cuenta Pública	9/13/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/sep/20110913-I.html#Iniciativa2
139	Proyecto de Ley de Ingresos de la Federación para el Ejercicio Fiscal de 2012.	finanzas públicas	Ingresos 2012: La Federación ingresará 3 billones 647 mil 907 millones 100 mil pesos (3,647,907.1)	Poder Ejecutivo	Poder Ejecutivo	Hacienda y Crédito Público, Presupuesto y Cuenta Pública	9/13/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/sep/20110913-I.html#Iniciativa1
140	Que reforma y adiciona diversas disposiciones de la Ley General del Sistema Nacional de Seguridad Pública	seguridad nacional, seguridad pública	Incorporar a cinco consejeros ciudadanos como miembros permanentes, con voz y voto, al Consejo Nacional de Seguridad Pública.	José Luis Ovando Patrón, Teresa del Carmen Incháustegui Romero, Alma Carolina Viggiano Austria, Eduardo Yañez Montaño y Gastón Luken Garza	PAN, PRD, PRI, PRI, PAN		9/22/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/sep/20110922-VII.html#Iniciativa10
141	Proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley del Impuesto Sobre la Renta.	sociedad civil	Instituciones de sociedad civil q realicen actividades de interés público serán donatarias autorizadas p/ dar recibos deducibles a donantes	Claudia Edith Anaya Mota	PRD	Hacienda y Crédito Público	9/27/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/sep/20110927-VI.html#Iniciativa14
142	Que reforma los artículos 77 Bis 5, 77 Bis 9 y 77 Bis 37 de la Ley General de Salud	salud	Proporcionar vales o tarjetas canjeables por medicamentos en farmacias públicas o privadas.	Carlos Alberto Ezeta Salcedo	PVEM	Salud	10/6/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/sep/20110906-IV.html#Iniciativa17
143	Que expide la Ley General para prevenir, sancionar y erradicar la Trata de Personas y Delitos Relacionados, abroga la Ley para prevenir y sancionar la Trata de Personas, y reforma diversas disposiciones de los Códigos Penal Federal, Federal de Procedimientos Penales, y Civil Federal, así como de las Leyes Federal contra la Delincuencia Organizada, Orgánica del Poder Judicial de la Federación, de la Policía Federal, Federal de Telecomunicaciones, y General del Sistema Nacional de Seguridad	trata de personas, derecho de las víctimas	Combatir la trata de personas y los delitos relacionados, velar por los derechos de las víctimas y definir las medidas para su protección	Rosi Orozco	PAN	Derechos Humanos, Justicia	8/3/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/ago/20110808.html#Iniciativa2
